Branch_ID,Dealer_ID,Model_ID,Revenue,Units_Sold,Date_ID,Day,Month,Year,BranchName,DealerName,Product_Name
BR1831,DLR0184,Tat-M184,4035650,1,DT01248,1,6,2020,Spyker Motors,Spyker Motors,Tata
BR2131,DLR0214,Kia-M214,9528452,1,DT01248,1,6,2020,Horch Motors,Horch Motors,Kia
BR0662,DLR0047,Cad-M37,4982115,3,DT01248,1,6,2020,FSO Motors,DeSoto Motors,Cadillac
BR0279,DLR0135,Hon-M65,23006266,3,DT01248,1,6,2020,Buick Motors,Morgan Motors,Honda
BR7866,DLR0032,Vol-M259,18599464,1,DT01248,1,6,2020,Mitsubishi Motors,Checker Motors,Volkswagen
BR1684,DLR0109,Inf-M79,14457347,1,DT01248,1,6,2020,SAIC Motor Motors,Ligier Motors,Infiniti
BR0071,DLR0008,Mer-M8,3443890,1,DT01248,1,6,2020,Anadol Motors,Anadol Motors,Mercedes-Benz
BR0692,DLR0050,Che-M40,17256909,3,DT01248,1,6,2020,Gilbern Motors,Donkervoort Motors,Chevrolet
BR0064,DLR0214,Tat-M194,19132259,1,DT01249,2,6,2020,"AMC, Eagle Motors",Horch Motors,Tata
BR2058,DLR0066,Sko-M273,22106503,3,DT01249,2,6,2020,Volvo Motors,Freightliner Motors,Skoda
BR1561,DLR0157,Hyu-M157,14376749,1,DT01249,2,6,2020,Polestar Motors,Polestar Motors,Hyundai
BR1279,DLR0235,Mah-M165,20072475,2,DT01249,2,6,2020,Messerschmitt Motors,Buick Automobile Company Building,Mahindra
BR2323,DLR0193,Mah-M173,518062,1,DT01249,2,6,2020,Blankinship Motor Company Building,Tazzari Motors,Mahindra
BR2005,DLR0121,Nis-M81,14480586,2,DT01249,2,6,2020,Vauxhall Motors,"Matra (including Deutsch-Bonnet, René Bonnet) Motors",Nissan
BR0823,DLR0043,For-M23,5517026,1,DT01249,2,6,2020,Honda India Motors,Daimler Motors,Ford
BR2184,DLR0159,Ren-M129,11594238,1,DT01249,2,6,2020,MG  Motors,Porsche Motors,Renault
BR0249,DLR0132,Acu-M62,13048244,1,DT01250,3,6,2020,Austin-Healey Motors,Mitsubishi Motors,Acura
BR1049,DLR0212,Mar-M142,11841238,3,DT01250,3,6,2020,Lamborghini Motors,,Maruti Suzuki
BR0783,DLR0039,For-M19,27382730,1,DT01250,3,6,2020,Hillman Motors,Dacia Motors,Ford
BR2099,DLR0050,BMW-M247,15715740,3,DT01250,3,6,2020,ZAZ Motors,Donkervoort Motors,BMW
BR0351,DLR0036,Cad-M36,13001506,1,DT01250,3,6,2020,Chrysler Europe Motors,Chrysler Europe Motors,Cadillac
BR1578,DLR0018,For-M225,10137430,3,DT01250,3,6,2020,"Pontiac, Asüna Motors",Bentley Motors,Ford
BR1764,DLR0117,Nis-M87,12434457,3,DT01250,3,6,2020,Seat Motors,Marlin Motors,Nissan
BR0562,DLR0037,Lin-M27,23941507,1,DT01250,3,6,2020,Fiat Motors,Citroën Motors,Lincoln
BR0118,DLR0139,Inf-M79,22488315,1,DT01251,4,6,2020,Asia Motors Motors,Nissan Motors,Infiniti
BR2214,DLR0162,Ren-M132,10010248,1,DT01251,4,6,2020,Riley  Motors,Puma Motors,Renault
BR2462,DLR0227,Hon-M217,8111165,1,DT01251,4,6,2020,Kindel Building,Ramani Motors,Honda
BR1105,DLR0031,Nis-M268,9627246,2,DT01251,4,6,2020,Lotus Motors,Caterham Motors,Nissan
BR1821,DLR0183,Tat-M183,12541736,1,DT01251,4,6,2020,Smart Motors,Smart Motors,Tata
BR1075,DLR0028,Nis-M265,12220906,1,DT01251,4,6,2020,Lexus Motors,Buick Motors,Nissan
BR1924,DLR0133,Toy-M103,9258289,3,DT01251,4,6,2020,Tazzari Motors,Monica Motors,Toyota
BR1958,DLR0056,Nis-M263,22044459,1,DT01251,4,6,2020,Toyota Motors,Ferrari Motors,Nissan
BR1741,DLR0175,Mah-M175,21606335,1,DT01252,5,6,2020,Saturn Motors,Saturn Motors,Mahindra
BR1524,DLR0093,Acu-M63,24765435,1,DT01252,5,6,2020,Peugeot Motors,Iso Motors,Acura
BR0463,DLR0007,Nis-M264,15810878,2,DT01252,5,6,2020,DeSoto Motors,"AMC, Eagle Motors",Nissan
BR0797,DLR0227,Mah-M177,21774828,3,DT01252,5,6,2020,Hindustan Motors,Ramani Motors,Mahindra
BR1594,DLR0100,Hon-M70,7669062,3,DT01252,5,6,2020,Premier Motors,JPX Motors,Honda
BR0959,DLR0203,Toy-M133,26080325,1,DT01252,5,6,2020,Iveco Motors,Volkswagen Motors,Toyota
BR0681,DLR0069,Hon-M69,27875119,1,DT01252,5,6,2020,Geo Motors,Geo Motors,Honda
BR2312,DLR0212,Toy-M202,10884847,2,DT01252,5,6,2020,2008 NRHP-listed,,Toyota
BR0791,DLR0080,Nis-M80,2520921,1,DT01253,6,6,2020,Hindustan Motors,Hindustan Motors,Nissan
BR1623,DLR0123,Toy-M103,24389205,2,DT01253,6,6,2020,Ranger Motors,Mazzanti Motors,Toyota
BR0631,DLR0064,Hon-M64,22292872,2,DT01253,6,6,2020,Ford Europe Motors,Ford Europe Motors,Honda
BR1150,DLR0202,Mer-M122,21870529,2,DT01253,6,6,2020,Mahindra Motors,Venturi Motors,Mercedes-Benz
BR0407,DLR0188,Mar-M138,9187903,1,DT01253,6,6,2020,DAF Motors,Subaru Motors,Maruti Suzuki
BR0726,DLR0180,Mar-M140,25297682,3,DT01253,6,6,2020,Aston Martin Motors,Simca do Brasil Motors,Maruti Suzuki
BR1543,DLR0115,Sub-M95,9116145,3,DT01253,6,6,2020,Piaggio Motors,Mahindra Motors,Subaru
BR1670,DLR0254,Mah-M174,14675853,3,DT01253,6,6,2020,Rolls-Royce Motors,"AMC, Eagle Motors",Mahindra
BR11586,DLR0094,Che-M44,12446585,1,DT01254,7,6,2020,Tesla Motors,Isotta Fraschini Motors,Chevrolet
BR0393,DLR0267,Vol-M257,17396865,2,DT01254,7,6,2020,"Daewoo, Saehan, Chevrolet Korea Motors",BMW Motors,Volkswagen
BR0240,DLR0111,Bui-M31,25659841,1,DT01254,7,6,2020,British Leyland Motors,Lotus Motors,Buick
BR2886,DLR0216,Mah-M176,3979214,1,DT01254,7,6,2020,Dodge Motors,Maybach  Motors,Mahindra
